,class_labels,image_name,bar_stool,bookcase,chandelier,dining_chair,market_umbrella,night_stands,ottoman,sconces,table_lamp,vases,location
0,bar_stool,72ecccc0-ed95-46c8-9277-8608a5ce1282.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/72ecccc0-ed95-46c8-9277-8608a5ce1282.jpg
1,bar_stool,7b1788f7-cbb5-473e-9b66-3c549e5ca6fe.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/7b1788f7-cbb5-473e-9b66-3c549e5ca6fe.jpg
2,bar_stool,ac24f494-a732-43b9-b229-055abd9b2c88.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/ac24f494-a732-43b9-b229-055abd9b2c88.jpg
5,bar_stool,5f3cbc43-4146-4064-93d5-f3f3b9dfc2e5.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/5f3cbc43-4146-4064-93d5-f3f3b9dfc2e5.jpg
6,bar_stool,e2915957-f351-4d04-9b9f-fee7b194d512.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e2915957-f351-4d04-9b9f-fee7b194d512.jpg
7,bar_stool,6d668af0-639c-43b0-9706-b67e19dc3677.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/6d668af0-639c-43b0-9706-b67e19dc3677.jpg
8,bar_stool,e258e12a-ffb3-4089-9e64-db86fa300d1a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e258e12a-ffb3-4089-9e64-db86fa300d1a.jpg
9,bar_stool,eb822d66-b38f-42a5-befc-599fd421461b.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/eb822d66-b38f-42a5-befc-599fd421461b.jpg
10,bar_stool,e869dfed-fb48-4509-8a4f-21f65c333171.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e869dfed-fb48-4509-8a4f-21f65c333171.jpg
11,bar_stool,c75171f4-2c50-4f64-bb63-0c6c5185ffb2.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/c75171f4-2c50-4f64-bb63-0c6c5185ffb2.jpg
